,id,nombre,votos,periodo,partido,bancada,dist_electoral,condicion,website
47,1128,Jorge Luis Flores Ancachi,"23,539",Parlamentario 2021 - 2026,Acción Popular,PODEMOS PERÚ,Puno,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JorgeFlores/
48,1044,Alex Randu Flores Ramírez,"21,993",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,BANCADA SOCIALISTA,Ayacucho,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/AlexFlores/
49,1149,Víctor Seferino Flores Ruíz,"12,256",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,La libertad,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/VictorFlores/
50,1113,Idelso Manuel García Correa,"14,205",Parlamentario 2021 - 2026,Alianza para el Progreso,ALIANZA PARA EL PROGRESO,Piura,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/IdelsoGarcia/
51,1031,Americo Gonza Castillo,"10,394",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,PERÚ LIBRE,Cajamarca,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/AmericoGonza/
52,1067,Diana Carolina Gonzales Delgado,"24,948",Parlamentario 2021 - 2026,Avanza País - Partido de Integración Social,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,Arequipa,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/DianaGonzales/
53,1108,Hernando Guerra García Campos,"55,987",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,LIMA,Fallecido,https://www.congreso.gob.pe/congresistas2021/HernandoGuerraGarcia/
54,1137,Paul Silvio Gutiérrez Ticona,"11,124",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,BLOQUE MAGISTERIAL DE CONCERTACIÓN NACIONAL,Apurimac,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/PaulGutierrez/
55,1163,Nelcy Lidia Heidinger Ballesteros,"1,324",Parlamentario 2021 - 2026,Alianza para el Progreso,ALIANZA PARA EL PROGRESO,Pasco,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/NelcyHeindinger/
56,1089,Fernando Mario Herrera Mamani,"6,105",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,PERÚ LIBRE,Tacna,Fallecido,https://www.congreso.gob.pe/congresistas2021/FernandoHerrera/
57,1133,Noelia Rossvith Herrera Medina,"8,619",Parlamentario 2021 - 2026,Renovación Popular,RENOVACIÓN POPULAR,Callao,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/NoeliaHerrera/
58,1140,Raúl Huamán Coronado,"9,588",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,Ica,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/RaulHuaman/
59,1052,Mery Eliana Infantes Castañeda,"2,575",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,Amazonas,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/MeryInfantes/
